Page4	Event
산과 염기! 색으로 구별해보자!	0
이번 실험은 지시약을 이용해 산과 염기를 구별하는 방법을 알아볼 거에요.	0
지시약은 용액의 성질에 따라 색이 변하는 물질이랍니다. 우리는 이번 실험에서 산과 염기를 구분하는 지시약들을 알아볼 거에요!	0
지시약 토큰을 산과 염기에 올려보면서 어떤 색이 나타나는지 알아보아요!	0
리트머스 종이는 파란색과 빨간색 두가지가 있어요. 파란 리트머스 종이는 산성 용액을 만나면 빨갛게 변하고,
 빨간 리트머스 종이는 염기성 용액을 만나면 파랗게 변한답니다!	0
양배추 지시약은 산성 용액을 만나면 붉게 변하고, 염기성 용액을 만나면 파랗게 변해요!	0
페놀프탈레인 용액은 염기성 용액에서 주홍색으로 색깔이 바뀐답니다.	0
메틸오렌지 용액은 산성일수록 붉은색을 띄는 성질이 있어요.	0
PH시험지는 색깔 지시표에 따라 산과 염기의 정도인 pH를 알 수 있답니다.	0
그러면 직접 실험을 해볼까요? 비커에 지시약 토큰을 가져다 대보도록 해요!	-1
Q1.파란색 리트머스 종이를 빨갛게 변화시켜주세요.	2
Q2.PH표에서 녹색을 띄게 해주세요.	2
이것으로 실험을 종료하겠습니다!	4
파란 리트머스 종이는 산성 용액을 만나면 빨갛게 변해요.	1
파란 리트머스 종이는 염기성 용액을 만나도 아무 변화가 없어요!	1
빨간 리트머스 종이는 산성 용액을 만나도 아무 변화가 없답니다.	1
빨간 리트머스 종이는 염기성 용액을 만나면 파랗게 변해요.	1
양배추 지시약은 산성 용액을 만나면 붉게 변한답니다.	1
양배추 지시약은 염기성 용액을 만나면 파랗게 변해요.	1
페놀프탈레인 용액은 산성 용액을 만나도 아무 변화가 없답니다.	1
페톨프탈레인 용액은 염기성 용액을 만나면 주홍색으로 변해요!	1
메틸오렌지 용액은 산성 용액을 만나면 붉게 변해요.	1
메틸오렌지 용액은 염기성 용액에서는 노란색을 띄어요.	1
PH시험지는 표에 따르면 산성에서 붉은색을 띕니다!	1
PH시험지는 표에 따르면 염기성에서 녹색을 띄어요!	1
