Page1	Event
개굴개굴, 개구리 안을 알아볼까요!	0
이번 실험에서는 개구리의 몸 속을 직접 파헤쳐볼 거에요.	0
개구리의 몸 속을 보도록 해요! 토큰을 올려 각 기관의 기능을 알아보아요!	-1
Q1.온 몸에 피를 공급해주는 펌프역할을 하는 기관은 무엇일까요?	2
Q2.산소를 공급해주고 이산화탄소를 밖으로 배출해주는 기관은 무엇일까요?	2
Q3.소화시킨 것에서 물을 흡수하고 대변을 배출해주는 기관은 무엇일까요?	2
Q4.각종 대사과정에 관여하며 몸속에 들어온 모든 것을 해독해주는 기관은 무엇일까요?	2
Q5.오줌을 담아두고 이를 배출해주는 기관은 어디일까요?	2
이것으로 실험을 종료하겠습니다!	4
심장은 펌프와 같아요! 개구리의 온 몸에 피를 공급해주죠.	1
폐는 개구리의 몸 속에 산소를 공급해주는 역할을 해요! 그리고 이산화탄소를 밖으로 배출해줘요.	1
대장은 소화시킨 것에서 물을 흡수하고 대변을 배출해준답니다.		1
위는 먹은 것을 보관하고 단백질을 소화해줘요!	1
간은 각종 대사과정에 관여하며 몸 속에 들어온 모든 것을 해독해줘요!	1
방광은 오줌을 담아두고 이를 배출해줍니다!	1
