Page2	Event
펑펑펑! 원자력 발전소의 원리!!	0
이번 실험은 원자력 발전소에 대해 알아볼 거에요.	0
원자력 발전소는 핵분열로 전기를 생산합니다.	0
핵분열은 무거운 원자핵이 여러 개의 가벼운 원자핵으로 바뀌는 과정이에요.	0
핵분열을 일어나는 이유를 토큰으로 알아볼까요? 알맞은 토큰을 올려 핵분열의 과정을 함께 알아보아요!	-1
보이시는 것과 같이 중성자가 우라늄의 무거운 원자핵과 충돌을 하면 우라늄의 원자핵을 분열시켜 에너지를 방출하게 해요.	0
이것이 연쇄적으로 일어나 큰 에너지를 생산할 수 있죠! 방출된 에너지를 이용해 전기를 생산하는 거랍니다.	0
Q1.원자력 발전소는 핵융합으로 전기를 생산한다. (O/X)	3
Q2.원자력 발전소는 핵분열로 전기를 생산한다. (O/X)	3
Q3.핵분열은 가벼운 원자핵과 중성자로 인해 이루어진다. (O/X)	3
Q4.핵분열은 무거운 원자핵과 중성자로 인해 이루어진다. (O/X)	3
Q5.원자력 발전소는 핵분열이 연쇄적으로 일어나 큰 에너지를 생산한다. (O/X)	3
Q6.원자력 발전소는 핵분열이 한번 일어나 큰 에너지를 생산한다. (O/X)	3
이것으로 실험을 종료하겠습니다!	4
